noc_code,description,construction_trades,non_construction_trades,trades,stc
54100,"Program leaders and instructors in recreation, sport and fitness",Non-Construction Trades,NA,Non-Trades,Other Occupations
55109,Other performers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60010,Corporate sales managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60020,Retail and wholesale trade managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60030,Restaurant and food service managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60031,Accommodation service managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
60040,Managers in customer and personal services,Non-Construction Trades,NA,Non-Trades,Other Occupations
62010,Retail sales supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62020,Food service supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62021,Executive housekeepers,Non-Construction Trades,NA,Non-Trades,Other Occupations
62022,"Accommodation, travel, tourism and related services supervisors",Non-Construction Trades,NA,Non-Trades,Other Occupations
62023,Customer and information services supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62024,Cleaning supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62029,Other services supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
62100,Technical sales specialists - wholesale trade,Non-Construction Trades,NA,Non-Trades,Other Occupations
62101,Retail and wholesale buyers,Non-Construction Trades,NA,Non-Trades,Other Occupations
62200,Chefs,Non-Construction Trades,NA,Non-Trades,Other Occupations
62201,Funeral directors and embalmers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
62202,"Jewellers, jewellery and watch repairers and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
63100,Insurance agents and brokers,Non-Construction Trades,NA,Non-Trades,Other Occupations
63101,Real estate agents and salespersons,Non-Construction Trades,NA,Non-Trades,Other Occupations
63102,Financial sales representatives,Non-Construction Trades,NA,Non-Trades,Other Occupations
63200,Cooks,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
63201,Butchers - retail and wholesale,Non-Construction Trades,NA,Non-Trades,Other Occupations
63202,Bakers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
63210,Hairstylists and barbers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
63211,"Estheticians, electrologists and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
63220,Shoe repairers and shoemakers,Non-Construction Trades,NA,Non-Trades,Other Occupations
63221,Upholsterers,Non-Construction Trades,NA,Non-Trades,Other Occupations
64100,Retail salespersons and visual merchandisers,Non-Construction Trades,NA,Non-Trades,Other Occupations
64101,Sales and account representatives - wholesale trade (non-technical),Non-Construction Trades,NA,Non-Trades,Other Occupations
64200,"Tailors, dressmakers, furriers and milliners",Non-Construction Trades,NA,Non-Trades,Other Occupations
64201,"Image, social and other personal consultants",Non-Construction Trades,NA,Non-Trades,Other Occupations
64300,Maîtres d'hôtel and hosts/hostesses,Non-Construction Trades,NA,Non-Trades,Other Occupations
64301,Bartenders,Non-Construction Trades,NA,Non-Trades,Other Occupations
64310,Travel counsellors,Non-Construction Trades,NA,Non-Trades,Other Occupations
64311,Pursers and flight attendants,Non-Construction Trades,NA,Non-Trades,Other Occupations
64312,Airline ticket and service agents,Non-Construction Trades,NA,Non-Trades,Other Occupations
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks",Non-Construction Trades,NA,Non-Trades,Other Occupations
64314,Hotel front desk clerks,Non-Construction Trades,NA,Non-Trades,Other Occupations
64320,Tour and travel guides,Non-Construction Trades,NA,Non-Trades,Other Occupations
64321,Casino workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
64322,Outdoor sport and recreational guides,Non-Construction Trades,NA,Non-Trades,Other Occupations
64400,Customer services representatives - financial institutions,Non-Construction Trades,NA,Non-Trades,Other Occupations
64401,Postal services representatives,Non-Construction Trades,NA,Non-Trades,Other Occupations
64409,Other customer and information services representatives,Non-Construction Trades,NA,Non-Trades,Other Occupations
64410,Security guards and related security service occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
65100,Cashiers,Non-Construction Trades,NA,Non-Trades,Other Occupations
65101,Service station attendants,Non-Construction Trades,NA,Non-Trades,Other Occupations
65102,"Store shelf stockers, clerks and order fillers",Non-Construction Trades,NA,Non-Trades,Other Occupations
65109,Other sales related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
65200,Food and beverage servers,Non-Construction Trades,NA,Non-Trades,Other Occupations
65201,"Food counter attendants, kitchen helpers and related support occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
65202,Meat cutters and fishmongers - retail and wholesale,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
65210,"Support occupations in accommodation, travel and facilities set-up services",Non-Construction Trades,NA,Non-Trades,Other Occupations
65211,"Operators and attendants in amusement, recreation and sport",Non-Construction Trades,NA,Non-Trades,Other Occupations
65220,Pet groomers and animal care workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
65229,Other support occupations in personal services,Non-Construction Trades,NA,Non-Trades,Other Occupations
65310,Light duty cleaners,Non-Construction Trades,NA,Non-Trades,Other Occupations
65311,Specialized cleaners,Non-Construction Trades,NA,Non-Trades,Other Occupations
65312,"Janitors, caretakers and heavy-duty cleaners",Non-Construction Trades,NA,Non-Trades,Other Occupations
65320,"Dry cleaning, laundry and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
65329,Other service support occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
70010,Construction managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
70011,Home building and renovation managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
70012,Facility operation and maintenance managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
70020,Managers in transportation,Non-Construction Trades,NA,Non-Trades,Other Occupations
70021,Postal and courier services managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
72012,"Contractors and supervisors, pipefitting trades",Non-Construction Trades,NA,Non-Trades,Other Occupations
72013,"Contractors and supervisors, carpentry trades",Non-Construction Trades,NA,Non-Trades,Other Occupations
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Non-Construction Trades,NA,Non-Trades,Other Occupations
72020,"Contractors and supervisors, mechanic trades",Non-Construction Trades,NA,Non-Trades,Other Occupations
72021,"Contractors and supervisors, heavy equipment operator crews",Non-Construction Trades,NA,Non-Trades,Other Occupations
72022,"Supervisors, printing and related occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
72023,"Supervisors, railway transport operations",Non-Construction Trades,NA,Non-Trades,Other Occupations
72024,"Supervisors, motor transport and other ground transit operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
72025,"Supervisors, mail and message distribution occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
72100,Machinists and machining and tooling inspectors,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
72101,Tool and die makers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
72102,Sheet metal workers,Construction Trades,NA,Trades,STC Trades
72103,Boilermakers,Construction Trades,NA,Trades,Other Trades
72104,Structural metal and platework fabricators and fitters,Construction Trades,NA,Trades,Other Trades
72105,Ironworkers,Construction Trades,NA,Trades,Other Trades
72106,Welders and related machine operators,Construction Trades,NA,Trades,Other Trades
72200,Electricians (except industrial and power system),Construction Trades,NA,Trades,STC Trades
72201,Industrial electricians,Construction Trades,NA,Trades,STC Trades
72202,Power system electricians,Non-Construction Trades,NA,Non-Trades,Other Occupations
72203,Electrical power line and cable workers,Construction Trades,NA,Trades,STC Trades
72204,Telecommunications line and cable installers and repairers,Non-Construction Trades,NA,Non-Trades,Other Occupations
72205,Telecommunications equipment installation and cable television service technicians,Non-Construction Trades,NA,Non-Trades,Other Occupations
72300,Plumbers,Construction Trades,NA,Trades,Other Trades
72301,"Steamfitters, pipefitters and sprinkler system installers",Construction Trades,NA,Trades,STC Trades
72302,Gas fitters,Construction Trades,NA,Trades,STC Trades
72310,Carpenters,Construction Trades,NA,Trades,Other Trades
72311,Cabinetmakers,Construction Trades,NA,Trades,Other Trades
72320,Bricklayers,Construction Trades,NA,Trades,Other Trades
72321,Insulators,Construction Trades,NA,Trades,Other Trades
72400,Construction millwrights and industrial mechanics,Construction Trades,NA,Trades,Other Trades
72401,Heavy-duty equipment mechanics,Construction Trades,NA,Trades,STC Trades
72402,"Heating, refrigeration and air conditioning mechanics",Construction Trades,NA,Trades,STC Trades
72403,Railway carmen/women,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
72404,Aircraft mechanics and aircraft inspectors,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
72405,Machine fitters,Non-Construction Trades,NA,Non-Trades,Other Occupations
72406,Elevator constructors and mechanics,Non-Construction Trades,NA,Non-Trades,Other Occupations
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",Non-Construction Trades,Non-Construction Trades,Trades,STC Trades
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",Non-Construction Trades,Non-Construction Trades,Trades,STC Trades
72420,Oil and solid fuel heating mechanics,Construction Trades,NA,Trades,Other Trades
72421,Appliance servicers and repairers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
72422,Electrical mechanics,Construction Trades,NA,Trades,Other Trades
72423,"Motorcycle, all-terrain vehicle and other related mechanics",Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
72429,Other small engine and small equipment repairers,Non-Construction Trades,NA,Non-Trades,Other Occupations
72500,Crane operators,Construction Trades,NA,Trades,Other Trades
72501,Water well drillers,Construction Trades,NA,Trades,Other Trades
72600,"Air pilots, flight engineers and flying instructors",Non-Construction Trades,NA,Non-Trades,Other Occupations
72601,Air traffic controllers and related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
72602,"Deck officers, water transport",Non-Construction Trades,NA,Non-Trades,Other Occupations
72603,"Engineer officers, water transport",Non-Construction Trades,NA,Non-Trades,Other Occupations
72604,Railway traffic controllers and marine traffic regulators,Non-Construction Trades,NA,Non-Trades,Other Occupations
72999,Other technical trades and related occupations,Construction Trades,NA,Trades,Other Trades
73100,Concrete finishers,Construction Trades,NA,Trades,Other Trades
73101,Tilesetters,Construction Trades,NA,Trades,Other Trades
73102,"Plasterers, drywall installers and finishers and lathers",Construction Trades,NA,Trades,Other Trades
73110,Roofers and shinglers,Construction Trades,NA,Trades,Other Trades
73111,Glaziers,Construction Trades,NA,Trades,Other Trades
73112,Painters and decorators (except interior decorators),Construction Trades,NA,Trades,Other Trades
73113,Floor covering installers,Construction Trades,NA,Trades,Other Trades
73200,Residential and commercial installers and servicers,Non-Construction Trades,NA,Non-Trades,Other Occupations
73201,General building maintenance workers and building superintendents,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
73202,Pest controllers and fumigators,Non-Construction Trades,NA,Non-Trades,Other Occupations
73209,Other repairers and servicers,Non-Construction Trades,NA,Non-Trades,Other Occupations
73300,Transport truck drivers,Non-Construction Trades,NA,Non-Trades,Other Occupations
73301,"Bus drivers, subway operators and other transit operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
73310,Railway and yard locomotive engineers,Non-Construction Trades,NA,Non-Trades,Other Occupations
73311,Railway conductors and brakemen/women,Non-Construction Trades,NA,Non-Trades,Other Occupations
73400,Heavy equipment operators,Construction Trades,NA,Trades,Other Trades
73401,Printing press operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
73402,"Drillers and blasters - surface mining, quarrying and construction",Non-Construction Trades,NA,Non-Trades,Other Occupations
74100,Mail and parcel sorters and related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
74101,Letter carriers,Non-Construction Trades,NA,Non-Trades,Other Occupations
74102,Couriers and messengers,Non-Construction Trades,NA,Non-Trades,Other Occupations
74200,Railway yard and track maintenance workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
74201,Water transport deck and engine room crew,Non-Construction Trades,NA,Non-Trades,Other Occupations
74202,Air transport ramp attendants,Non-Construction Trades,NA,Non-Trades,Other Occupations
74203,Automotive and heavy truck and equipment parts installers and servicers,Non-Construction Trades,NA,Non-Trades,Other Occupations
74204,Utility maintenance workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
74205,Public works maintenance equipment operators and related workers,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
75100,Longshore workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
75101,Material handlers,Non-Construction Trades,NA,Non-Trades,Other Occupations
75110,Construction trades helpers and labourers,Construction Trades,NA,Trades,Other Trades
75119,Other trades helpers and labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
75200,Taxi and limousine drivers and chauffeurs,Non-Construction Trades,NA,Non-Trades,Other Occupations
75201,Delivery service drivers and door-to-door distributors,Non-Construction Trades,NA,Non-Trades,Other Occupations
75210,Boat and cable ferry operators and related occupations,Non-Construction Trades,NA,Non-Trades,Other Occupations
75211,Railway and motor transport labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
75212,Public works and maintenance labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
80010,Managers in natural resources production and fishing,Non-Construction Trades,NA,Non-Trades,Other Occupations
80020,Managers in agriculture,Non-Construction Trades,NA,Non-Trades,Other Occupations
80021,Managers in horticulture,Non-Construction Trades,NA,Non-Trades,Other Occupations
80022,Managers in aquaculture,Non-Construction Trades,NA,Non-Trades,Other Occupations
82010,"Supervisors, logging and forestry",Non-Construction Trades,NA,Non-Trades,Other Occupations
82020,"Supervisors, mining and quarrying",Non-Construction Trades,NA,Non-Trades,Other Occupations
82021,"Contractors and supervisors, oil and gas drilling and services",Non-Construction Trades,NA,Non-Trades,Other Occupations
82030,Agricultural service contractors and farm supervisors,Non-Construction Trades,NA,Non-Trades,Other Occupations
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Non-Construction Trades,NA,Non-Trades,Other Occupations
83100,Underground production and development miners,Non-Construction Trades,NA,Non-Trades,Other Occupations
83101,"Oil and gas well drillers, servicers, testers and related workers",Non-Construction Trades,NA,Non-Trades,Other Occupations
83110,Logging machinery operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
83120,Fishing masters and officers,Non-Construction Trades,NA,Non-Trades,Other Occupations
83121,Fishermen/women,Non-Construction Trades,NA,Non-Trades,Other Occupations
84100,Underground mine service and support workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
84101,Oil and gas well drilling and related workers and services operators,Construction Trades,NA,Trades,Other Trades
84110,Chain saw and skidder operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
84111,Silviculture and forestry workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
84120,Specialized livestock workers and farm machinery operators,Non-Construction Trades,Non-Construction Trades,Trades,Other Trades
84121,Fishing vessel deckhands,Non-Construction Trades,NA,Non-Trades,Other Occupations
85100,Livestock labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
85101,Harvesting labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
85102,Aquaculture and marine harvest labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
85103,Nursery and greenhouse labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
85104,Trappers and hunters,Non-Construction Trades,NA,Non-Trades,Other Occupations
85110,Mine labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
85111,"Oil and gas drilling, servicing and related labourers",Non-Construction Trades,NA,Non-Trades,Other Occupations
85120,Logging and forestry labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
85121,Landscaping and grounds maintenance labourers,Non-Construction Trades,NA,Non-Trades,Other Occupations
90010,Manufacturing managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
90011,Utilities managers,Non-Construction Trades,NA,Non-Trades,Other Occupations
92010,"Supervisors, mineral and metal processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92011,"Supervisors, petroleum, gas and chemical processing and utilities",Non-Construction Trades,NA,Non-Trades,Other Occupations
92012,"Supervisors, food and beverage processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92013,"Supervisors, plastic and rubber products manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92014,"Supervisors, forest products processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92020,"Supervisors, motor vehicle assembling",Non-Construction Trades,NA,Non-Trades,Other Occupations
92021,"Supervisors, electronics and electrical products manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92022,"Supervisors, furniture and fixtures manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92023,"Supervisors, other mechanical and metal products manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
92024,"Supervisors, other products manufacturing and assembly",Non-Construction Trades,NA,Non-Trades,Other Occupations
92100,Power engineers and power systems operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
92101,Water and waste treatment plant operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
93100,"Central control and process operators, mineral and metal processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
93101,"Central control and process operators, petroleum, gas and chemical processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
93102,"Pulping, papermaking and coating control operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
93200,Aircraft assemblers and aircraft assembly inspectors,Non-Construction Trades,NA,Non-Trades,Other Occupations
94100,"Machine operators, mineral and metal processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94101,Foundry workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
94102,Glass forming and finishing machine operators and glass cutters,Non-Construction Trades,NA,Non-Trades,Other Occupations
94103,"Concrete, clay and stone forming operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
94104,"Inspectors and testers, mineral and metal processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94105,Metalworking and forging machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94106,Machining tool operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94107,Machine operators of other metal products,Non-Construction Trades,NA,Non-Trades,Other Occupations
94110,Chemical plant machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94111,Plastics processing machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94112,Rubber processing machine operators and related workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
94120,Sawmill machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94121,"Pulp mill, papermaking and finishing machine operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
94122,Paper converting machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94123,Lumber graders and other wood processing inspectors and graders,Non-Construction Trades,NA,Non-Trades,Other Occupations
94124,Woodworking machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94129,Other wood processing machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Non-Construction Trades,NA,Non-Trades,Other Occupations
94131,"Weavers, knitters and other fabric making occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
94132,Industrial sewing machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94140,"Process control and machine operators, food and beverage processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94141,"Industrial butchers and meat cutters, poultry preparers and related workers",Non-Construction Trades,NA,Non-Trades,Other Occupations
94142,Fish and seafood plant workers,Non-Construction Trades,NA,Non-Trades,Other Occupations
94143,"Testers and graders, food and beverage processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94150,Plateless printing equipment operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94151,"Camera, platemaking and other prepress occupations",Non-Construction Trades,NA,Non-Trades,Other Occupations
94152,Binding and finishing machine operators,Non-Construction Trades,NA,Non-Trades,Other Occupations
94153,Photographic and film processors,Non-Construction Trades,NA,Non-Trades,Other Occupations
94200,"Motor vehicle assemblers, inspectors and testers",Non-Construction Trades,NA,Non-Trades,Other Occupations
94201,"Electronics assemblers, fabricators, inspectors and testers",Non-Construction Trades,NA,Non-Trades,Other Occupations
94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",Non-Construction Trades,NA,Non-Trades,Other Occupations
94204,Mechanical assemblers and inspectors,Non-Construction Trades,NA,Non-Trades,Other Occupations
94205,"Machine operators and inspectors, electrical apparatus manufacturing",Non-Construction Trades,NA,Non-Trades,Other Occupations
94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",Non-Construction Trades,NA,Non-Trades,Other Occupations
94211,Assemblers and inspectors of other wood products,Non-Construction Trades,NA,Non-Trades,Other Occupations
94212,"Plastic products assemblers, finishers and inspectors",Non-Construction Trades,NA,Non-Trades,Other Occupations
94213,"Industrial painters, coaters and metal finishing process operators",Non-Construction Trades,NA,Non-Trades,Other Occupations
94219,"Other products assemblers, finishers and inspectors",Non-Construction Trades,NA,Non-Trades,Other Occupations
95100,Labourers in mineral and metal processing,Non-Construction Trades,NA,Non-Trades,Other Occupations
95101,Labourers in metal fabrication,Non-Construction Trades,NA,Non-Trades,Other Occupations
95102,Labourers in chemical products processing and utilities,Non-Construction Trades,NA,Non-Trades,Other Occupations
95103,"Labourers in wood, pulp and paper processing",Non-Construction Trades,NA,Non-Trades,Other Occupations
95104,Labourers in rubber and plastic products manufacturing,Non-Construction Trades,NA,Non-Trades,Other Occupations
95105,Labourers in textile processing and cutting,Non-Construction Trades,NA,Non-Trades,Other Occupations
95106,Labourers in food and beverage processing,Non-Construction Trades,NA,Non-Trades,Other Occupations
95107,Labourers in fish and seafood processing,Non-Construction Trades,NA,Non-Trades,Other Occupations
95109,"Other labourers in processing, manufacturing and utilities",Non-Construction Trades,NA,Non-Trades,Other Occupations
